,date_id,year,month,day,quarter,day_of_week
0,2017-03-15,2017,03,015,1,Wednesday
1,2017-03-24,2017,03,024,1,Friday
2,2017-02-20,2017,02,020,1,Monday
3,2017-03-08,2017,03,008,1,Wednesday
4,2017-02-23,2017,02,023,1,Thursday
6,2017-02-27,2017,02,027,1,Monday
7,2017-03-02,2017,03,002,1,Thursday
8,2017-03-10,2017,03,010,1,Friday
9,2017-02-26,2017,02,026,1,Sunday
10,2017-02-25,2017,02,025,1,Saturday
11,2017-03-20,2017,03,020,1,Monday
14,2017-03-11,2017,03,011,1,Saturday
15,2017-03-16,2017,03,016,1,Thursday
16,2017-03-14,2017,03,014,1,Tuesday
17,2017-03-01,2017,03,001,1,Wednesday
18,2017-02-24,2017,02,024,1,Friday
22,2017-02-28,2017,02,028,1,Tuesday
27,2017-03-17,2017,03,017,1,Friday
32,2017-03-07,2017,03,007,1,Tuesday
34,2017-03-19,2017,03,019,1,Sunday
37,2017-03-23,2017,03,023,1,Thursday
38,2017-02-21,2017,02,021,1,Tuesday
40,2017-03-03,2017,03,003,1,Friday
41,2017-03-09,2017,03,009,1,Thursday
43,2017-03-25,2017,03,025,1,Saturday
46,2017-02-03,2017,02,003,1,Friday
47,2017-02-02,2017,02,002,1,Thursday
53,2017-03-13,2017,03,013,1,Monday
67,2017-03-06,2017,03,006,1,Monday
69,2017-03-12,2017,03,012,1,Sunday
76,2017-01-11,2017,01,011,1,Wednesday
77,2017-01-20,2017,01,020,1,Friday
78,2017-01-16,2017,01,016,1,Monday
79,2017-01-19,2017,01,019,1,Thursday
80,2017-01-13,2017,01,013,1,Friday
81,2017-01-09,2017,01,009,1,Monday
87,2017-01-21,2017,01,021,1,Saturday
89,2017-01-14,2017,01,014,1,Saturday
92,2017-01-10,2017,01,010,1,Tuesday
94,2017-01-17,2017,01,017,1,Tuesday
95,2017-01-18,2017,01,018,1,Wednesday
99,2017-01-22,2017,01,022,1,Sunday
101,2017-01-15,2017,01,015,1,Sunday
111,2017-01-12,2017,01,012,1,Thursday
150,2017-02-08,2017,02,008,1,Wednesday
153,2017-02-09,2017,02,009,1,Thursday
154,2017-02-07,2017,02,007,1,Tuesday
161,2017-02-06,2017,02,006,1,Monday
172,2017-02-10,2017,02,010,1,Friday
176,2017-02-11,2017,02,011,1,Saturday
194,2017-02-12,2017,02,012,1,Sunday
224,2017-01-30,2017,01,030,1,Monday
227,2017-01-29,2017,01,029,1,Sunday
228,2017-01-31,2017,01,031,1,Tuesday
230,2017-04-14,2017,04,014,2,Friday
244,2017-02-01,2017,02,001,1,Wednesday
255,2017-01-23,2017,01,023,1,Monday
265,2017-01-24,2017,01,024,1,Tuesday
271,2017-01-25,2017,01,025,1,Wednesday
273,2017-04-12,2017,04,012,2,Wednesday
279,2017-04-16,2017,04,016,2,Sunday
280,2017-01-26,2017,01,026,1,Thursday
284,2017-01-27,2017,01,027,1,Friday
288,2017-04-21,2017,04,021,2,Friday
293,2017-01-28,2017,01,028,1,Saturday
296,2017-04-19,2017,04,019,2,Wednesday
297,2017-04-20,2017,04,020,2,Thursday
299,2017-04-18,2017,04,018,2,Tuesday
300,2017-04-29,2017,04,029,2,Saturday
301,2017-04-28,2017,04,028,2,Friday
303,2017-04-30,2017,04,030,2,Sunday
304,2017-04-24,2017,04,024,2,Monday
310,2017-03-04,2017,03,004,1,Saturday
314,2017-03-21,2017,03,021,1,Tuesday
315,2017-03-05,2017,03,005,1,Sunday
340,2017-02-22,2017,02,022,1,Wednesday
464,2017-02-13,2017,02,013,1,Monday
496,2017-02-14,2017,02,014,1,Tuesday
512,2017-02-16,2017,02,016,1,Thursday
520,2017-02-15,2017,02,015,1,Wednesday
530,2017-04-26,2017,04,026,2,Wednesday
531,2017-04-22,2017,04,022,2,Saturday
604,2017-01-03,2017,01,003,1,Tuesday
605,2017-01-01,2017,01,001,1,Sunday
607,2017-01-02,2017,01,002,1,Monday
610,2017-01-08,2017,01,008,1,Sunday
611,2017-01-06,2017,01,006,1,Friday
614,2017-01-07,2017,01,007,1,Saturday
620,2017-01-05,2017,01,005,1,Thursday
621,2017-01-04,2017,01,004,1,Wednesday
781,2017-02-17,2017,02,017,1,Friday
787,2017-02-18,2017,02,018,1,Saturday
802,2017-02-19,2017,02,019,1,Sunday
2081,2017-03-22,2017,03,022,1,Wednesday
2138,2017-02-05,2017,02,005,1,Sunday
2141,2017-02-04,2017,02,004,1,Saturday
2340,2017-03-26,2017,03,026,1,Sunday
2374,2017-03-18,2017,03,018,1,Saturday
4347,2017-03-30,2017,03,030,1,Thursday
4348,2017-03-29,2017,03,029,1,Wednesday
4619,2017-04-03,2017,04,003,2,Monday
4620,2017-04-02,2017,04,002,2,Sunday
4621,2017-04-01,2017,04,001,2,Saturday
4625,2017-03-31,2017,03,031,1,Friday
4630,2017-04-04,2017,04,004,2,Tuesday
4632,2017-04-07,2017,04,007,2,Friday
4633,2017-04-08,2017,04,008,2,Saturday
4636,2017-04-09,2017,04,009,2,Sunday
4680,2017-04-11,2017,04,011,2,Tuesday
