,location_id,road_id,lga_id,region_id,is_intersection,intersection_no,intersection_desc
0,1240038_050522,1240038,124,07,0,050522,William St & Hay St
1,1260096_None,1260096,126,07,1,,
2,1040027_None,1040027,104,07,1,,
3,H005_None,H005,113,07,1,,
4,H032_047055,H032,119,07,0,047055,South St & Murdoch Dr
5,1313303_067855,1313303,131,07,0,067855,Boas Av & Grand Bvd
6,1180012_None,1180012,118,07,1,,
7,H012_004456,H012,114,07,0,004456,Leach Hwy & Welshpool Rd
8,8140653_008501,8140653,814,11,0,008501,Millstream Rd & Dampier Rd & De Witt Rd
9,1140265_None,1140265,114,07,1,,
10,H005_016590,H005,129,07,0,016590,Great Eastern Hwy & Bolton Av
11,H700_119104,H700,105,07,0,119104,Kwinana Fwy (Northbound) off to Anketell Rd & Anketell Rd on to Kwinana Fwy (Northbound) & Anketell Rd
12,M059_None,M059,610,01,1,,
13,1250083_None,1250083,125,07,1,,
14,1070001_052638,1070001,107,07,0,052638,Patterson Rd & Parkin St & Kent St & Railway Tce
15,H069_None,H069,131,07,1,,
16,H679_None,H679,113,07,1,,
18,2030010_None,2030010,203,02,1,,
19,1300280_None,1300280,130,07,1,,
21,H027_039611,H027,114,07,0,039611,Rivervale Wattle Grove Link & Kewdale Rd
22,H032_None,H032,119,07,1,,
23,1300014_None,1300014,130,07,1,,
24,1141017_None,1141017,114,07,1,,
25,H026_None,H026,130,07,1,,
26,H069_060941,H069,110,07,0,060941,Ocean Reef Upper Swan Hwy & Archer St
27,1092106_None,1092106,109,07,1,,
29,1105434_None,1105434,110,07,1,,
30,1090838_173030,1090838,109,07,0,173030,Millhouse Rd & Duvall Pwy
31,H035_050664,H035,130,07,0,050664,Wanneroo Rd & Vincent St
32,1130310_None,1130310,113,07,1,,
33,H002_013935,H002,103,07,0,013935,Melville Mandurah Hwy & Cockburn Rd
34,1140011_None,1140011,114,07,1,,
35,1260001_054378,1260001,126,07,0,054378,Manning Rd & Welwyn Av
36,1250069_055431,1250069,125,07,0,055431,Scarborough Beach Rd & Ellen Stirling Bvd
37,1250067_None,1250067,125,07,1,,
38,1250052_055248,1250052,125,07,0,055248,Central Av & Alexander Dr
39,H002_004418,H002,103,07,0,004418,Melville Mandurah Hwy & Phoenix Rd
40,H015_None,H015,126,07,1,,
41,H023_036342,H023,101,07,0,036342,Armadale Rd & Church Av
42,1180004_043021,1180004,118,07,0,043021,Carrington St & Samson St
43,1070001_116700,1070001,107,07,0,116700,Patterson Rd & Pedlar Cct
44,H007_None,H007,505,14,1,,
46,1050006_046483,1050006,105,07,0,046483,Sulphur Rd & Tanson Rd
47,1010535_None,1010535,101,07,1,,
48,1100290_None,1100290,110,07,1,,
49,H014_None,H014,122,07,1,,
50,1240038_050561,1240038,124,07,0,050561,William St & Wellington St
52,1091131_060098,1091131,109,07,0,060098,The Crescent & Cale St
53,H035_075553,H035,125,07,0,075553,Wanneroo Rd & Reid Hwy (Westbound) off to Wanneroo Rd & Wanneroo Rd on to Reid Hwy (Westbound)
