,road_id,road_name,common_road_name,cway,speed_limit,network_type
0,1240038,William St,William St,S,40km/h,Local Road
1,1260096,Henning Cr,Henning Cr,S,110km/h or 50km/h built up areas,Local Road
2,1040027,Amherst Rd,Amherst Rd,S,60km/h,Local Road
3,H005,Great Eastern Hwy,Great Eastern Hwy,L,60km/h,State Road
4,H032,South St,South St,L,70km/h,Local Road
5,1313303,Grand Bvd,Grand Bvd,L,110km/h or 50km/h built up areas,Local Road
6,1180012,Elder Pl,Elder Pl,S,40km/h,Local Road
7,H012,Leach Hwy,Leach Hwy,L,60km/h,Local Road
8,8140653,Dampier Rd,Dampier Rd,L,70km/h,Local Road
9,1140265,Liege St,Liege St,S,110km/h or 50km/h built up areas,Local Road
11,H700,Kwinana Fwy (Northbound) off to Anketell Rd,Kwinana Fwy (Northbound) off to Anketell Rd,S,70km/h,Local Road
12,M059,Ravensthorpe Hopetoun,Hopetoun-Ravensthorpe Rd,S,110km/h,State Road
13,1250083,Woodrow Av,Woodrow Av,S,60km/h,Local Road
14,1070001,Patterson Rd,Patterson Rd,L,60km/h,Local Road
15,H069,Ocean Reef Upper Swan Hwy,Ocean Reef Rd,R,70km/h,State Road
16,H679,Tonkin Hwy (Northbound) off to McDowell St,Tonkin Hwy (Northbound) off to McDowell St,S,110km/h or 50km/h built up areas,State Road
18,2030010,Maranup Ford Rd,Maranup Ford Rd,S,110km/h or 50km/h built up areas,Local Road
19,1300280,Fitzgerald St,Fitzgerald St,S,40km/h,Local Road
21,H027,Rivervale Wattle Grove Link,Orrong Rd,L,70km/h,State Road
23,1300014,Eton St,Eton St,S,110km/h or 50km/h built up areas,Local Road
24,1141017,Nicholson Rd,Nicholson Rd,S,70km/h,Local Road
25,H026,Guildford Rd,East Pde,L,60km/h,State Road
27,1092106,Arbor Dr,Arbor Dr,S,110km/h or 50km/h built up areas,Local Road
29,1105434,Bethwyn Cct,Bethwyn Cct,S,110km/h or 50km/h built up areas,Local Road
30,1090838,Millhouse Rd,Millhouse Rd,L,110km/h or 50km/h built up areas,Local Road
31,H035,Wanneroo Rd,Charles St,L,60km/h,Local Road
32,1130310,Miller Av,Miller Av,S,110km/h or 50km/h built up areas,Local Road
33,H002,Melville Mandurah Hwy,Rockingham Rd,L,70km/h,State Road
34,1140011,Sevenoaks St,Sevenoaks St,S,60km/h,Local Road
35,1260001,Manning Rd,Manning Rd,L,110km/h or 50km/h built up areas,Local Road
36,1250069,Scarborough Beach Rd,Scarborough Beach Rd,L,60km/h,Local Road
37,1250067,Main St,Main St,S,60km/h,Local Road
38,1250052,Central Av,Central Av,L,60km/h,Local Road
40,H015,Kwinana Fwy,Kwinana Fwy,R,100km/h,State Road
41,H023,Armadale Rd,Armadale Rd,L,110km/h or 50km/h built up areas,Local Road
42,1180004,Carrington St,Carrington St,S,60km/h,Local Road
44,H007,North West Coastal Hwy,North West Coastal Hwy,S,60km/h,State Road
46,1050006,Sulphur Rd,Sulphur Rd,S,110km/h or 50km/h built up areas,Local Road
47,1010535,Jade St,Jade St,S,110km/h or 50km/h built up areas,Local Road
48,1100290,Crisafulli Av,Crisafulli Av,S,110km/h or 50km/h built up areas,Local Road
49,H014,Stirling Hwy,Stirling Hwy,L,60km/h,State Road
52,1091131,The Crescent,The Crescent,S,110km/h or 50km/h built up areas,Local Road
54,1040001,William St,William St,S,110km/h or 50km/h built up areas,Local Road
56,2080266,Cheviot Wy,Cheviot Wy,S,110km/h or 50km/h built up areas,Local Road
57,H016,Mitchell Fwy,Mitchell Fwy,R,100km/h,State Road
58,1280304,Railway Pde,Railway Pde,S,110km/h or 50km/h built up areas,Local Road
59,1240130,Bennett St,Bennett St,S,110km/h or 50km/h built up areas,Local Road
62,2120455,Luckhurst Dr,Luckhurst Dr,S,110km/h or 50km/h built up areas,Local Road
63,1250089,Cape St,Cape St,S,110km/h or 50km/h built up areas,Local Road
64,H028,Karrinyup Morley Hwy,Morley Dr,L,60km/h,Local Road
65,1290004,Hayman Rd,Hayman Rd,S,60km/h,Local Road
66,1260066,Dyson St,Dyson St,S,110km/h or 50km/h built up areas,Local Road
67,1140001,Manning Rd,Manning Rd,L,110km/h or 50km/h built up areas,Local Road
68,0010037,Frederick St,Frederick St,S,60km/h,Local Road
69,1091579,Great Northern Hwy,Great Northern Hwy,S,60km/h,Local Road
70,1250107,Williamstown Rd,Williamstown Rd,S,110km/h or 50km/h built up areas,Local Road
71,1313301,Reid Prom,Reid Prom,S,110km/h or 50km/h built up areas,Local Road
72,1220011,Victoria Av,Victoria Av,S,110km/h or 50km/h built up areas,Local Road
75,1290036,Creaton St,Creaton St,S,110km/h or 50km/h built up areas,Local Road
77,H029,Marmion Av,Marmion Av,L,70km/h,Local Road
78,1070002,Parkin St,Parkin St,S,60km/h,Local Road
79,1030010,North Lake Rd,North Lake Rd,S,70km/h,Local Road
80,H021,Reid Hwy,Reid Hwy,R,90km/h,State Road
82,1120655,Walter Rd East,Walter Rd East,S,60km/h,Local Road
83,1110003,Iolanthe St,Iolanthe St,S,110km/h or 50km/h built up areas,Local Road
84,1313717,Dwyer Turn,Dwyer Turn,S,110km/h or 50km/h built up areas,Local Road
85,1101267,Prindiville Dr,Prindiville Dr,S,110km/h or 50km/h built up areas,Local Road
86,2080248,Wellington Mill Rd,Wellington Mill Rd,S,110km/h or 50km/h built up areas,Local Road
87,H013,Canning Hwy,Canning Hwy,L,110km/h or 50km/h built up areas,Local Road
88,2121850,Shonae Pass,Shonae Pass,S,110km/h or 50km/h built up areas,Local Road
90,H017,Tonkin Hwy,Tonkin Hwy,L,100km/h,State Road
91,1110179,McDonald Cr,McDonald Cr,S,110km/h or 50km/h built up areas,Local Road
