category,x_case_words,split
0,button years ensuring financial competitive confidential www business no attitude,train
1,approach maintenance customer date review appropriate practices improvement button self,train
2,communities ready brands clear specific go step current just significant,val
2,career not call confidential www no fast ongoing email delivery,test
2,we your you skills have experience will and to zvale,test
3,better testing impact or genuine manufacturing history rewarded others challenge,test
4,inspiring competitive second strongly fmcg terms related developing fast dynamic,train
5,employment occupational against highly culturally addressing young capable aged protection,train
6,tertiary employee education description full employer provider tasks under wide,train
7,alternatively organisations monitor discipline mobile civil disability copy engage problems,test
2,quality an available team not seeking based business excellent now,test
8,suitable during direction operate human ad applicants pressure cost industrial,val
9,make looking attitude months tasks monday good own using assist,train
10,materials they mechanical contribution varied suitable stock cost expanding rewarded,train
2,package exceptional market maintain solutions sydney delivery into over manage,train
2,range vehicle friday details core monday equipment network operating phone,val
8,sectors required manufacturing off clear zealand targeted energy prepare aspects,test
11,highly role years well excellent their time communication required opportunity,train
12,flexible particular keeping young growing ground newly communicator recommendations since,train
2,leadership willing learn members than construction dynamic commercial individual growth,train
13,available new by based provide excellent time support must from,train
3,multiple limited site paced maintaining start product so pm hours,train
14,undertaking necessary pride direct research etc implement attractive find goals,train
12,genuine achieving communications important firm deadlines bring there attractive expertise,train
7,great level client has can manager professional now customer well,test
6,nsw double retain executives packing preparation pathways resilience government align,train
2,values all focused established committed want safety licence commercial required,train
3,essential it one we great currently opportunities resume years current,train
12,images layout fluency widely skin cooperatively advantage illustrator trend rolling,val
3,great other include click client com contact new experienced business,train
6,staff two comprehensive exposure throughout one enthusiastic change check order,train
3,various offers roles employees construction provider financial safe possess make,train
1,west youll by doing evidence read arrangements direction or here,train
15,global market etc fit equipment tools re leader require immediate,train
0,interpersonal passionate dynamic provided so local reliable effective online customers,test
16,happy colleagues energy current like progression facility responsible direction towards,train
2,about duties motivated good best current seeking quality experienced knowledge,train
2,inclusive torres strait companies creating extensive aboriginal pay problem workforce,train
3,cover self manner competitive safety excellent letter service building candidates,val
9,specific primary property infrastructure deadlines up associated company advantage excellence,train
7,technology processes management required dynamic attitude support positive use process,val
8,integrity security effectively employer term demonstrate qualified preparation long sound,train
17,managers interest fantastic return public if interested social location re,train
18,presentation director specialist change love largest each fantastic environment preferred,train
16,watford cheshunt because here teaching east yorkshire transitioning sheffield nottingham,train
17,reconciliation aligned put desk behaviours life agreements updated register demonstrated,train
6,medical similar contacted send cover verbal systems tasks standards positive,val
